city,confirm,dead,percentage
孝感,173,1,13.243243703613576
黄冈,213,4,12.489445796325585
荆州,71,2,6.2550255505535945
咸宁,91,0,5.075959362452852
鄂州,57,0,4.291578050857769
襄阳,70,0,3.9196179583890975
黄石,53,1,3.777272174230441
荆门,114,3,3.1324206107799
随州,70,0,3.0392121912641437
仙桃,27,0,2.7939414770653364
宜昌,51,1,2.78353692663341
天门,23,2,1.9083769315001824
十堰,65,0,1.8698612969947679
恩施州,38,0,1.8519826012896947
信阳,29,0,1.364237133471225
重庆,132,0,1.2381104757269739
长沙,24,0,1.1754100255505533
潜江,7,1,1.139333860566979
北京,91,1,1.1356503224236525
上海,66,1,0.8453254653850832
郑州,37,0,0.6593825282881128
广州,51,0,0.6276280569412337
南阳,26,1,0.6273926268402481
深圳,57,0,0.6175538386665043
驻马店,10,0,0.6164527314758487
成都,37,0,0.5209538873342255
九江,9,0,0.5192687674899623
南昌,17,0,0.5090424625866894
岳阳,17,0,0.5032941963742548
合肥,16,0,0.45904732935880255
南京,10,0,0.4300765123137005
安庆,8,0,0.41466662611023236
杭州,32,0,0.40555864323661633
周口,15,0,0.39372490570629026
西安,15,0,0.3798290546295168
阜阳,21,0,0.32505049276067655
苏州,12,0,0.31582486244521124
常德,19,0,0.30945355951056724
商丘,7,0,0.3071222109533468
台州,22,0,0.3011224489795919
贵阳,1,0,0.27797663495122243
宜春,10,0,0.27672634003350083
南宁,5,0,0.27425994752951466
昆明,12,0,0.2733043187144291
天津,24,0,0.2545406794814484
东莞,7,0,0.2512410841654779
徐州,8,0,0.2454871794871795
厦门,5,0,0.24103437301082117
衡阳,7,0,0.2391764217517642
三亚,14,0,0.23901459854014598
石家庄,9,0,0.23686703096539166
益阳,10,0,0.23402351819481962
青岛,15,0,0.22708962739174218
惠州,11,0,0.2265299145299145
温州,60,0,0.22305244013337372
佛山,18,0,0.22096569250317663
邯郸,4,0,0.21992443324937028
六安,4,0,0.2179630720879984
宁波,17,0,0.21789788408463662
海口,7,1,0.21348416289592761
邵阳,11,0,0.21240498034076016
无锡,6,0,0.21220940550133094
洛阳,2,0,0.21215680991512867
泉州,13,0,0.20913696060037523
福州,24,0,0.20506189076280365
哈尔滨,10,0,0.2035413642960813
新乡,6,0,0.20162454873646207
济南,10,0,0.2
漯河,9,0,0.1995906016375934
娄底,9,0,0.19615749389280068
开封,2,0,0.19
太原,3,0,0.19
株洲,7,0,0.1874084295032614
许昌,2,0,0.17700000000000002
上饶,7,0,0.1751243060584118
珠海,12,0,0.172504816955684
菏泽,5,0,0.17
金华,7,0,0.16
赣州,10,0,0.14
